frame= 2414 fps= 30 q=-1.0 size=    2369kB time=00:01:20.51 bitrate= 241.0kbits/s speed=   1x    
frame= 2429 fps= 30 q=-1.0 size=    2403kB time=00:01:21.01 bitrate= 243.0kbits/s speed=   1x    
frame= 2444 fps= 30 q=-1.0 size=    2416kB time=00:01:21.52 bitrate= 242.8kbits/s speed=   1x    
frame= 2459 fps= 30 q=-1.0 size=    2443kB time=00:01:22.03 bitrate= 244.0kbits/s speed=   1x    
frame= 2475 fps= 30 q=-1.0 size=    2470kB time=00:01:22.55 bitrate= 245.2kbits/s speed=   1x    
frame= 2490 fps= 30 q=-1.0 size=    2484kB time=00:01:23.05 bitrate= 245.0kbits/s speed=   1x    
frame= 2505 fps= 30 q=-1.0 size=    2498kB time=00:01:23.56 bitrate= 244.9kbits/s speed=   1x    
frame= 2520 fps= 30 q=-1.0 size=    2511kB time=00:01:24.05 bitrate= 244.7kbits/s speed=   1x    
frame= 2536 fps= 30 q=-1.0 size=    2524kB time=00:01:24.58 bitrate= 244.4kbits/s speed=   1x    
frame= 2551 fps= 30 q=-1.0 size=    2535kB time=00:01:25.08 bitrate= 244.1kbits/s speed=   1x    
frame= 2566 fps= 30 q=-1.0 size=    2547kB time=00:01:25.58 bitrate= 243.8kbits/s speed=   1x    
frame= 2581 fps= 30 q=-1.0 size=    2564kB time=00:01:26.10 bitrate= 244.0kbits/s speed=   1x    
frame= 2596 fps= 30 q=-1.0 size=    2579kB time=00:01:26.58 bitrate= 244.0kbits/s speed=   1x    
frame= 2611 fps= 30 q=-1.0 size=    2591kB time=00:01:27.09 bitrate= 243.7kbits/s speed=   1x    
frame= 2627 fps= 30 q=-1.0 size=    2634kB time=00:01:27.62 bitrate= 246.3kbits/s speed=   1x    
frame= 2642 fps= 30 q=-1.0 size=    2646kB time=00:01:28.12 bitrate= 246.0kbits/s speed=   1x    
frame= 2657 fps= 30 q=-1.0 size=    2657kB time=00:01:28.62 bitrate= 245.6kbits/s speed=   1x    
frame= 2672 fps= 30 q=-1.0 size=    2669kB time=00:01:29.12 bitrate= 245.3kbits/s speed=   1x    
frame= 2687 fps= 30 q=-1.0 size=    2681kB time=00:01:29.62 bitrate= 245.0kbits/s speed=   1x    
frame= 2702 fps= 30 q=-1.0 size=    2693kB time=00:01:30.14 bitrate= 244.7kbits/s speed=   1x    
frame= 2718 fps= 30 q=-1.0 size=    2705kB time=00:01:30.65 bitrate= 244.4kbits/s speed=   1x    
frame= 2733 fps= 30 q=-1.0 size=    2716kB time=00:01:31.16 bitrate= 244.0kbits/s speed=   1x    
frame= 2748 fps= 30 q=-1.0 size=    2743kB time=00:01:31.67 bitrate= 245.1kbits/s speed=   1x    
frame= 2763 fps= 30 q=-1.0 size=    2755kB time=00:01:32.16 bitrate= 244.9kbits/s speed=   1x    
frame= 2779 fps= 30 q=-1.0 size=    2767kB time=00:01:32.69 bitrate= 244.5kbits/s speed=   1x    
